Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,0.128820,0.132569,0.127384,0.131343,0.131343,5199965
2019-01-02,0.131875,0.137089,0.130510,0.135878,0.135878,3753377
2019-01-03,0.135957,0.136000,0.131079,0.131839,0.131839,4120653
2019-01-04,0.132086,0.139929,0.131286,0.138424,0.138424,5946185
2019-01-05,0.138123,0.140613,0.136217,0.136645,0.136645,3957046
2019-01-06,0.136656,0.142860,0.134464,0.140803,0.140803,4688919
2019-01-07,0.141259,0.141511,0.137603,0.137931,0.137931,2769540
2019-01-08,0.138265,0.142255,0.137270,0.140805,0.140805,2732318
2019-01-09,0.141032,0.145372,0.140752,0.141753,0.141753,2683592
2019-01-10,0.141983,0.142626,0.121206,0.125552,0.125552,4850984
2019-01-11,0.124999,0.132213,0.124804,0.129713,0.129713,5816050
2019-01-12,0.129871,0.134924,0.127031,0.131387,0.131387,5047466
2019-01-13,0.131198,0.131294,0.120299,0.120674,0.120674,4337655
2019-01-14,0.120755,0.127068,0.119942,0.125732,0.125732,4744138
2019-01-15,0.125746,0.126489,0.120356,0.121508,0.121508,4832972
2019-01-16,0.121096,0.126787,0.120619,0.124662,0.124662,5443251
2019-01-17,0.124802,0.129176,0.124329,0.129176,0.129176,18767257
2019-01-18,0.129168,0.133246,0.124406,0.125949,0.125949,9073875
2019-01-19,0.125909,0.130200,0.125692,0.129787,0.129787,7709202
2019-01-20,0.129580,0.131166,0.121655,0.124779,0.124779,8654298
2019-01-21,0.124730,0.125075,0.120572,0.122180,0.122180,7717112
2019-01-22,0.122237,0.124724,0.120645,0.123780,0.123780,10843096
2019-01-23,0.123842,0.125025,0.121789,0.122508,0.122508,13152102
2019-01-24,0.122660,0.124249,0.121978,0.123928,0.123928,13939953
2019-01-25,0.124203,0.128967,0.123656,0.128301,0.128301,13730273
2019-01-26,0.128415,0.128965,0.125262,0.126224,0.126224,8093492
2019-01-27,0.126143,0.126769,0.123358,0.124241,0.124241,8583969
2019-01-28,0.124917,0.125044,0.111415,0.113024,0.113024,11354674
2019-01-29,0.112864,0.115380,0.109959,0.114460,0.114460,9667901
2019-01-30,0.114926,0.117531,0.113120,0.115821,0.115821,8542111
2019-01-31,0.115850,0.116403,0.111431,0.113711,0.113711,8092347
