Date,Open,High,Low,Close,Adj Close,Volume
2021-01-31,2.882130,2.930167,2.763820,2.807573,2.807573,14125230
2021-02-01,2.811951,2.945335,2.767082,2.862678,2.862678,11339162
2021-02-02,2.857707,2.895649,2.799039,2.870612,2.870612,8681027
2021-02-03,2.870753,3.150984,2.870015,2.962212,2.962212,32526903
2021-02-04,2.958947,3.041441,2.921391,2.962425,2.962425,16425706
2021-02-05,2.963004,3.261131,2.933515,3.202672,3.202672,30218861
2021-02-06,3.197932,3.227542,3.016684,3.091695,3.091695,14869505
2021-02-07,3.095361,3.818401,3.093747,3.620252,3.620252,112328858
2021-02-08,3.610519,3.698760,3.309907,3.544822,3.544822,38641727
2021-02-09,3.538528,3.744704,3.442889,3.692559,3.692559,24147038
2021-02-10,3.696466,5.566755,3.625154,4.923011,4.923011,237838987
2021-02-11,4.923883,5.217864,4.309021,4.777739,4.777739,116174172
2021-02-12,4.777792,4.990658,4.624455,4.840808,4.840808,48567719
2021-02-13,4.844227,5.443392,4.531527,4.606443,4.606443,56054770
2021-02-14,4.610135,4.727661,4.148208,4.358612,4.358612,33302132
2021-02-15,4.362063,4.401520,3.757933,4.074367,4.074367,28959100
2021-02-16,4.076483,4.631915,3.879614,4.539598,4.539598,32000624
2021-02-17,4.584702,5.212294,4.208617,4.797726,4.797726,125052856
2021-02-18,4.792360,5.764046,4.542159,5.221612,5.221612,138609172
2021-02-19,5.223663,5.743545,4.988105,5.311796,5.311796,98552144
2021-02-20,5.291538,5.450828,5.040299,5.114121,5.114121,41191301
2021-02-21,5.079342,5.316373,4.978988,5.116935,5.116935,26555571
2021-02-22,5.132234,5.132234,3.985982,4.572771,4.572771,37697624
2021-02-23,4.571912,4.573425,3.398578,4.035170,4.035170,37163223
2021-02-24,4.024614,4.721675,3.837784,4.498108,4.498108,26052920
2021-02-25,4.497598,4.564964,4.060898,4.063641,4.063641,14671429
2021-02-26,4.056967,4.209760,3.718813,3.864275,3.864275,16464777
2021-02-27,3.864977,4.127221,3.858532,3.925305,3.925305,10608654
2021-02-28,3.930207,3.982235,3.565972,3.816470,3.816470,9964667
2021-03-01,3.820198,4.025072,3.742732,3.983883,3.983883,16618043
2021-03-02,3.985945,4.133117,3.805474,3.863430,3.863430,14615602
2021-03-03,3.866805,4.195468,3.866621,4.096872,4.096872,17373779
2021-03-04,4.089572,4.282804,3.828173,3.865539,3.865539,16993316
2021-03-05,3.869053,3.989673,3.613176,3.775756,3.775756,20082664
2021-03-06,3.772044,3.920975,3.767127,3.811435,3.811435,8358659
2021-03-07,3.811730,3.953799,3.811305,3.878452,3.878452,12134851
2021-03-08,3.877405,3.946298,3.800565,3.871650,3.871650,14869424
2021-03-09,3.873204,4.007909,3.826765,3.983871,3.983871,18536450
2021-03-10,3.981717,4.487489,3.851182,4.169382,4.169382,39601495
2021-03-11,4.161518,4.339081,3.950005,4.000693,4.000693,25089400
2021-03-12,3.998954,4.038573,3.739643,3.790820,3.790820,20213254
2021-03-13,3.793574,4.132281,3.703036,3.974329,3.974329,21576841
2021-03-14,3.973073,4.041173,3.836716,3.861895,3.861895,12490206
2021-03-15,3.857542,3.917042,3.654134,3.691553,3.691553,14700041
2021-03-16,3.687119,3.823113,3.598662,3.762601,3.762601,15099663
2021-03-17,3.767620,4.042665,3.678077,3.959354,3.959354,24317888
2021-03-18,3.963345,4.552643,3.959720,4.064657,4.064657,47275639
2021-03-19,4.110768,4.235462,4.022887,4.071214,4.071214,19730994
2021-03-20,4.070520,4.170493,3.959784,3.986957,3.986957,17780987
2021-03-21,3.979289,4.054423,3.854648,3.896189,3.896189,15176829
2021-03-22,3.895612,4.245943,3.738078,3.959821,3.959821,35280714
2021-03-23,3.962199,4.029561,3.755716,3.827181,3.827181,22385454
2021-03-24,3.828696,3.989001,3.527723,3.565086,3.565086,20854151
2021-03-25,3.558968,3.684849,3.264153,3.272159,3.272159,25394987
2021-03-26,3.325693,3.727659,3.315558,3.625438,3.625438,18349995
2021-03-27,3.624673,3.627900,3.489387,3.560299,3.560299,13445418
2021-03-28,3.558825,3.733176,3.506860,3.568252,3.568252,16831559
2021-03-29,3.569709,4.497500,3.556524,4.476511,4.476511,46426459
2021-03-30,4.440261,4.997870,4.128541,4.334163,4.334163,76570096
2021-03-31,4.334239,4.987558,4.231454,4.635746,4.635746,53473970
2021-04-01,4.637913,4.765131,4.528960,4.577773,4.577773,21945525
2021-04-02,4.581710,4.632426,4.432238,4.464428,4.464428,17286015
2021-04-03,4.462894,4.665191,4.310273,4.312921,4.312921,16704376
2021-04-04,4.313303,4.525028,4.275687,4.440990,4.440990,14743079
2021-04-05,4.437811,4.725214,4.264576,4.641186,4.641186,19994263
2021-04-06,4.655590,4.701807,4.473443,4.573029,4.573029,18720167
2021-04-07,4.570203,4.699681,4.216677,4.249533,4.249533,17514268
2021-04-08,4.247155,4.556906,4.224463,4.451960,4.451960,13149560
2021-04-09,4.451137,4.574076,4.365329,4.377373,4.377373,11623599
2021-04-10,4.373206,4.485517,4.296140,4.364910,4.364910,15058025
2021-04-11,4.364956,4.719377,4.249880,4.694865,4.694865,20703529
2021-04-12,4.704140,4.836648,4.500804,4.820383,4.820383,25055071
2021-04-13,4.830035,5.014330,4.502124,4.589192,4.589192,33613149
2021-04-14,4.588179,4.632400,4.241037,4.366834,4.366834,35799990
2021-04-15,4.360589,4.527926,4.336822,4.497663,4.497663,24140031
2021-04-16,4.495132,4.526791,4.287100,4.366084,4.366084,19996279
2021-04-17,4.364138,4.981256,4.318248,4.550001,4.550001,36377356
2021-04-18,4.547976,4.590034,3.802593,4.029582,4.029582,25469574
2021-04-19,4.030420,4.403717,3.868834,4.124037,4.124037,26207620
2021-04-20,4.116491,5.969745,3.789962,5.823539,5.823539,288327464
2021-04-21,5.796384,7.236368,5.567550,5.873076,5.873076,384214646
2021-04-22,5.859764,5.977066,4.971748,5.090769,5.090769,100645851
2021-04-23,5.092228,5.270414,4.254912,4.813872,4.813872,63562164
2021-04-24,4.815433,6.760609,4.575693,6.135511,6.135511,187262369
2021-04-25,6.125990,6.425107,5.140710,5.605599,5.605599,133022559
2021-04-26,5.607552,6.147382,5.551569,5.727150,5.727150,84861534
2021-04-27,5.733182,5.798297,5.486029,5.552957,5.552957,59444125
2021-04-28,5.538014,5.868646,5.127115,5.256078,5.256078,54854338
2021-04-29,5.255732,5.479619,5.000617,5.152635,5.152635,39154460
2021-04-30,5.152790,5.559936,5.052933,5.397057,5.397057,43103607
2021-05-01,5.408125,5.540342,5.251666,5.331266,5.331266,32160710
2021-05-02,5.328233,5.982215,5.290551,5.623526,5.623526,78425836
2021-05-03,5.616380,5.737130,5.445172,5.478176,5.478176,45865774
2021-05-04,5.480593,5.498993,4.999986,5.022985,5.022985,42278253
2021-05-05,5.036426,5.348571,5.015573,5.200320,5.200320,39563570
2021-05-06,5.199670,5.747429,5.164797,5.422198,5.422198,56881332
2021-05-07,5.421821,5.689207,5.288812,5.410658,5.410658,47154937
2021-05-08,5.412049,5.807807,5.325074,5.358739,5.358739,45266058
2021-05-09,5.358375,5.443000,5.191240,5.272723,5.272723,24440350
2021-05-10,5.266236,5.393485,4.750778,4.770879,4.770879,26596234
